_id,Anno,Tipo gestione,Tipologia di Area (valore in MQ),Metri Quadri
164,2017,Gestione di altri enti pubblici,Orti botanici,0
165,2017,Gestione di altri enti pubblici,Orti urbani,71971
166,2017,Gestione di altri enti pubblici,Cimiteri,0
167,2017,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,54409
168,2017,Gestione di altri enti pubblici,Altre tipologie di verde urbano,116879
169,2018,Gestione Comunale,Aree naturali protette,35323
170,2018,Gestione Comunale,Ville giardini e parchi,857868
171,2018,Gestione Comunale,Parchi (giardini e ville) urbani,6096570
172,2018,Gestione Comunale,Verde attrezzato,6534108
173,2018,Gestione Comunale,Aree di arredo urbano,3422238
174,2018,Gestione Comunale,Forestazione urbana,183551
175,2018,Gestione Comunale,Giardini scolastici comunali ,1349067
176,2018,Gestione Comunale,Orti botanici,45684
177,2018,Gestione Comunale,Orti urbani,5614
178,2018,Gestione Comunale,Cimiteri,665670
179,2018,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,125772
180,2018,Gestione Comunale,Altre tipologie di verde urbano,372116
181,2018,Gestione di altri enti pubblici,Aree naturali protette,0
182,2018,Gestione di altri enti pubblici,Ville giardini e parchi,9919
183,2018,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4217994
184,2018,Gestione di altri enti pubblici,Verde attrezzato,570011
185,2018,Gestione di altri enti pubblici,Aree di arredo urbano,88663
186,2018,Gestione di altri enti pubblici,Forestazione urbana,0
187,2018,Gestione di altri enti pubblici,Giardini scolastici comunali ,29229
188,2018,Gestione di altri enti pubblici,Orti botanici,0
189,2018,Gestione di altri enti pubblici,Orti urbani,71971
190,2018,Gestione di altri enti pubblici,Cimiteri,0
191,2018,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,54409
192,2018,Gestione di altri enti pubblici,Altre tipologie di verde urbano,118744
193,2019,Gestione Comunale,Aree naturali protette,35323
194,2019,Gestione Comunale,Ville giardini e parchi,857868
195,2019,Gestione Comunale,Parchi (giardini e ville) urbani,6143523
196,2019,Gestione Comunale,Verde attrezzato,6589932
197,2019,Gestione Comunale,Aree di arredo urbano,3453984
198,2019,Gestione Comunale,Forestazione urbana,212068
199,2019,Gestione Comunale,Giardini scolastici comunali ,1357814
200,2019,Gestione Comunale,Orti botanici,45684
201,2019,Gestione Comunale,Orti urbani,5723
202,2019,Gestione Comunale,Cimiteri,665670
203,2019,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,125772
204,2019,Gestione Comunale,Altre tipologie di verde urbano,372020
205,2019,Gestione di altri enti pubblici,Aree naturali protette,0
206,2019,Gestione di altri enti pubblici,Ville giardini e parchi,9919
207,2019,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4215107
208,2019,Gestione di altri enti pubblici,Verde attrezzato,566188
209,2019,Gestione di altri enti pubblici,Aree di arredo urbano,94315
210,2019,Gestione di altri enti pubblici,Forestazione urbana,0
211,2019,Gestione di altri enti pubblici,Giardini scolastici comunali ,29847
212,2019,Gestione di altri enti pubblici,Orti botanici,0
213,2019,Gestione di altri enti pubblici,Orti urbani,75119
214,2019,Gestione di altri enti pubblici,Cimiteri,0
215,2019,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,54409
216,2019,Gestione di altri enti pubblici,Altre tipologie di verde urbano,118744
217,2020,Gestione Comunale,Aree naturali protette,35323
218,2020,Gestione Comunale,Ville giardini e parchi,856223
219,2020,Gestione Comunale,Parchi (giardini e ville) urbani,6202071
220,2020,Gestione Comunale,Verde attrezzato,6618439
221,2020,Gestione Comunale,Aree di arredo urbano,3466190
222,2020,Gestione Comunale,Forestazione urbana,212068
223,2020,Gestione Comunale,Giardini scolastici comunali ,1355945
224,2020,Gestione Comunale,Orti botanici,45684
225,2020,Gestione Comunale,Orti urbani,6731
226,2020,Gestione Comunale,Cimiteri,665670
227,2020,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,127138
228,2020,Gestione Comunale,Altre tipologie di verde urbano,370448
229,2020,Gestione di altri enti pubblici,Aree naturali protette,0
230,2020,Gestione di altri enti pubblici,Ville giardini e parchi,9919
231,2020,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4204754
232,2020,Gestione di altri enti pubblici,Verde attrezzato,562110
233,2020,Gestione di altri enti pubblici,Aree di arredo urbano,94599
234,2020,Gestione di altri enti pubblici,Forestazione urbana,0
235,2020,Gestione di altri enti pubblici,Giardini scolastici comunali ,37649
236,2020,Gestione di altri enti pubblici,Orti botanici,0
237,2020,Gestione di altri enti pubblici,Orti urbani,74010
238,2020,Gestione di altri enti pubblici,Cimiteri,0
239,2020,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,53044
240,2020,Gestione di altri enti pubblici,Altre tipologie di verde urbano,120030
241,2021,Gestione Comunale,Aree naturali protette,35323
242,2021,Gestione Comunale,Ville giardini e parchi,856223
243,2021,Gestione Comunale,Parchi (giardini e ville) urbani,6218317
244,2021,Gestione Comunale,Verde attrezzato,6557155
245,2021,Gestione Comunale,Aree di arredo urbano,3521383
246,2021,Gestione Comunale,Forestazione urbana,235310
247,2021,Gestione Comunale,Giardini scolastici comunali ,1352863
248,2021,Gestione Comunale,Orti botanici,45684
249,2021,Gestione Comunale,Orti urbani,6701
250,2021,Gestione Comunale,Cimiteri,665670
251,2021,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,124820
252,2021,Gestione Comunale,Altre tipologie di verde urbano,369303
253,2021,Gestione di altri enti pubblici,Aree naturali protette,0
254,2021,Gestione di altri enti pubblici,Ville giardini e parchi,9919
255,2021,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4201874
256,2021,Gestione di altri enti pubblici,Verde attrezzato,627066
257,2021,Gestione di altri enti pubblici,Aree di arredo urbano,77530
258,2021,Gestione di altri enti pubblici,Forestazione urbana,0
259,2021,Gestione di altri enti pubblici,Giardini scolastici comunali ,37356
260,2021,Gestione di altri enti pubblici,Orti botanici,0
261,2021,Gestione di altri enti pubblici,Orti urbani,74882
262,2021,Gestione di altri enti pubblici,Cimiteri,0
263,2021,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,54799
264,2021,Gestione di altri enti pubblici,Altre tipologie di verde urbano,120030
265,2022,Gestione Comunale,Aree naturali protette,35323
266,2022,Gestione Comunale,Ville giardini e parchi,856223
267,2022,Gestione Comunale,Parchi (giardini e ville) urbani,6118450
268,2022,Gestione Comunale,Verde attrezzato,6794980
269,2022,Gestione Comunale,Aree di arredo urbano,3581587
270,2022,Gestione Comunale,Forestazione urbana,249198
271,2022,Gestione Comunale,Giardini scolastici comunali ,1367065
272,2022,Gestione Comunale,Orti botanici,45684
273,2022,Gestione Comunale,Orti urbani,5665
274,2022,Gestione Comunale,Cimiteri,665670
275,2022,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,129292
276,2022,Gestione Comunale,Altre tipologie di verde urbano,376623
277,2022,Gestione di altri enti pubblici,Aree naturali protette,0
278,2022,Gestione di altri enti pubblici,Ville giardini e parchi,24975
279,2022,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4419385
280,2022,Gestione di altri enti pubblici,Verde attrezzato,602886
281,2022,Gestione di altri enti pubblici,Aree di arredo urbano,86122
282,2022,Gestione di altri enti pubblici,Forestazione urbana,0
283,2022,Gestione di altri enti pubblici,Giardini scolastici comunali ,18708
284,2022,Gestione di altri enti pubblici,Orti botanici,0
285,2022,Gestione di altri enti pubblici,Orti urbani,75038
286,2022,Gestione di altri enti pubblici,Cimiteri,0
287,2022,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,54799
288,2022,Gestione di altri enti pubblici,Altre tipologie di verde urbano,119171
289,2023,Gestione Comunale,Aree naturali protette,35323
290,2023,Gestione Comunale,Ville giardini e parchi,856220
291,2023,Gestione Comunale,Parchi (giardini e ville) urbani,6152977
292,2023,Gestione Comunale,Verde attrezzato,6832942
293,2023,Gestione Comunale,Aree di arredo urbano,3590020
294,2023,Gestione Comunale,Forestazione urbana,249198
295,2023,Gestione Comunale,Giardini scolastici comunali ,1365989
296,2023,Gestione Comunale,Orti botanici,45683
297,2023,Gestione Comunale,Orti urbani,5665
298,2023,Gestione Comunale,Cimiteri,665670
299,2023,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,85121
300,2023,Gestione Comunale,Altre tipologie di verde urbano,344621
301,2023,Gestione di altri enti pubblici,Aree naturali protette,0
302,2023,Gestione di altri enti pubblici,Ville giardini e parchi,24975
303,2023,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4400262
304,2023,Gestione di altri enti pubblici,Verde attrezzato,603049
305,2023,Gestione di altri enti pubblici,Aree di arredo urbano,97273
306,2023,Gestione di altri enti pubblici,Forestazione urbana,0
307,2023,Gestione di altri enti pubblici,Giardini scolastici comunali ,37571
308,2023,Gestione di altri enti pubblici,Orti botanici,0
309,2023,Gestione di altri enti pubblici,Orti urbani,76253
310,2023,Gestione di altri enti pubblici,Cimiteri,0
311,2023,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,98539
312,2023,Gestione di altri enti pubblici,Altre tipologie di verde urbano,122853
313,2024,Gestione Comunale,Aree naturali protette,
314,2024,Gestione Comunale,Ville giardini e parchi,859691
315,2024,Gestione Comunale,Parchi (giardini e ville) urbani,6112851
316,2024,Gestione Comunale,Verde attrezzato,7096895
317,2024,Gestione Comunale,Aree di arredo urbano,3623902
318,2024,Gestione Comunale,Forestazione urbana,214492
319,2024,Gestione Comunale,Giardini scolastici comunali ,1364275
320,2024,Gestione Comunale,Orti botanici,46934
321,2024,Gestione Comunale,Orti urbani,
322,2024,Gestione Comunale,Cimiteri,665670
323,2024,Gestione Comunale,Aree all'aperto sportive e a servizio ludico ricreativo,89948
324,2024,Gestione Comunale,Altre tipologie di verde urbano,
325,2024,Gestione di altri enti pubblici,Aree naturali protette,
326,2024,Gestione di altri enti pubblici,Ville giardini e parchi,24975
327,2024,Gestione di altri enti pubblici,Parchi (giardini e ville) urbani,4355842
328,2024,Gestione di altri enti pubblici,Verde attrezzato,626632
329,2024,Gestione di altri enti pubblici,Aree di arredo urbano,107371
330,2024,Gestione di altri enti pubblici,Forestazione urbana,34705
331,2024,Gestione di altri enti pubblici,Giardini scolastici comunali ,39981
332,2024,Gestione di altri enti pubblici,Orti botanici,0
333,2024,Gestione di altri enti pubblici,Orti urbani,
334,2024,Gestione di altri enti pubblici,Cimiteri,0
335,2024,Gestione di altri enti pubblici,Aree all'aperto sportive e a servizio ludico ricreativo,98539
336,2024,Gestione di altri enti pubblici,Altre tipologie di verde urbano,
