_id,UN_VOL_AV,ID_EDIF,area,proprieta,Classifica,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
88,16.83,E00000042714,56.4791,Dato non in possesso,Insediamenti residenziali,9.175058215345738,45.48003083687984,"(45.48003083687984, 9.175058215345738)"
89,29.35,E00000042495,431.032,Dato non in possesso,Insediamenti residenziali,9.192702107852794,45.47907840115142,"(45.47907840115142, 9.192702107852794)"
90,30.285,E00000042278,234.244,Dato non in possesso,Insediamenti residenziali,9.170147953680678,45.47704426368382,"(45.47704426368382, 9.170147953680678)"
91,12.601,E00000042268,104.46,Dato non in possesso,Insediamenti residenziali,9.168154256528808,45.47687025376528,"(45.47687025376528, 9.168154256528808)"
92,12.219,E00000045586,473.191,Dato non in possesso,Servizi pubblici,9.20111681393577,45.48513978605587,"(45.48513978605587, 9.20111681393577)"
93,12.413,E00000042650,50.4445,Dato non in possesso,Insediamenti residenziali,9.179748322149004,45.480171926473474,"(45.480171926473474, 9.179748322149004)"
94,39.661,E00000043318,99.672,COMUNE MILANO,Edifici scolastici,9.20042227803794,45.48509397360152,"(45.48509397360152, 9.20042227803794)"
95,15.67,E00000042676,94.2483,Dato non in possesso,Insediamenti residenziali,9.174489205738587,45.47991866623139,"(45.47991866623139, 9.174489205738587)"
96,6.22,E00000042782,147.093,Dato non in possesso,Insediamenti residenziali,9.17292730891941,45.48048156467186,"(45.48048156467186, 9.17292730891941)"
97,18.96,E00000042615,136.912,Dato non in possesso,Insediamenti residenziali,9.17142807551359,45.47934279863473,"(45.47934279863473, 9.17142807551359)"
98,16.91,E00000053033,68.4342,Dato non in possesso,Insediamenti residenziali,9.206502209665114,45.48378604444823,"(45.48378604444823, 9.206502209665114)"
99,15.67,E00000042676,60.5484,Dato non in possesso,Insediamenti residenziali,9.174730919029825,45.479966537460555,"(45.479966537460555, 9.174730919029825)"
100,22.76,E00000042495,112.72,Dato non in possesso,Insediamenti residenziali,9.192894197499356,45.47907178893908,"(45.47907178893908, 9.192894197499356)"
101,16.657,E00000042268,94.5013,Dato non in possesso,Insediamenti residenziali,9.168107945818347,45.476895907000426,"(45.476895907000426, 9.168107945818347)"
102,24.403,E00000044794,119.853,Dato non in possesso,Insediamenti residenziali,9.166891628684956,45.47825262042403,"(45.47825262042403, 9.166891628684956)"
103,18.055,E00000041903,38.8185,Dato non in possesso,Insediamenti residenziali,9.17329663053725,45.47723130697318,"(45.47723130697318, 9.17329663053725)"
104,11.61,E00000049133,88.6031,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.162440408495748,45.48573058606426,"(45.48573058606426, 9.162440408495748)"
105,20.23,E00000043222,230.827,Dato non in possesso,Insediamenti residenziali,9.206967742694575,45.48437847593821,"(45.48437847593821, 9.206967742694575)"
106,16.9,E00000042714,40.4294,Dato non in possesso,Insediamenti residenziali,9.175204318985552,45.480050314661526,"(45.480050314661526, 9.175204318985552)"
107,16.35,E00000042615,36.9994,Dato non in possesso,Insediamenti residenziali,9.171548258900271,45.47938238867921,"(45.47938238867921, 9.171548258900271)"
108,24.27,E00000042042,157.696,Dato non in possesso,Insediamenti residenziali,9.166057889110736,45.48220067679485,"(45.48220067679485, 9.166057889110736)"
109,20.872,E00000042095,85.7708,Dato non in possesso,Insediamenti residenziali,9.166354535119682,45.48274982392742,"(45.48274982392742, 9.166354535119682)"
110,11.715,E00000042288,37.1981,Dato non in possesso,Insediamenti residenziali,9.172428858086828,45.47700911453734,"(45.47700911453734, 9.172428858086828)"
111,26.503,E00000037177,15.8106,Dato non in possesso,Insediamenti residenziali,9.206265431974915,45.496791748769546,"(45.496791748769546, 9.206265431974915)"
112,23.96,E00000037177,14.9757,Dato non in possesso,Insediamenti residenziali,9.206314805283352,45.496669891101995,"(45.496669891101995, 9.206314805283352)"
113,7.454,E00000001303,198.294,Dato non in possesso,Insediamenti residenziali,9.239227592370153,45.50368534774586,"(45.50368534774586, 9.239227592370153)"
114,14.37,E00000000021,971.678,Dato non in possesso,Insediamenti residenziali,9.226684167042501,45.498872796869115,"(45.498872796869115, 9.226684167042501)"
115,0.54,E00000000172,1648.2,COMUNE MILANO,Insediamenti residenziali,9.226259413395894,45.50479671315395,"(45.50479671315395, 9.226259413395894)"
116,26.92,E00000000001,510.675,Dato non in possesso,Insediamenti residenziali,9.223266117701113,45.49650923542642,"(45.49650923542642, 9.223266117701113)"
117,30.78,E00000000588,386.348,Dato non in possesso,Insediamenti residenziali,9.228182940077131,45.49704194997745,"(45.49704194997745, 9.228182940077131)"
118,30.765,E00000000585,436.761,Dato non in possesso,Insediamenti residenziali,9.22844008467868,45.496430894600216,"(45.496430894600216, 9.22844008467868)"
119,7.515,E00000001324,97.8969,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.241053487904733,45.50359567355896,"(45.50359567355896, 9.241053487904733)"
120,4.71,E00000000599,239.622,Dato non in possesso,Insediamenti residenziali,9.229432997114488,45.49718436157949,"(45.49718436157949, 9.229432997114488)"
121,5.19,E00000000518,269.579,Dato non in possesso,Insediamenti residenziali,9.221507937793277,45.49663724382339,"(45.49663724382339, 9.221507937793277)"
122,28.665,E00000000713,289.862,Dato non in possesso,Insediamenti residenziali,9.235064237738868,45.497495166839364,"(45.497495166839364, 9.235064237738868)"
123,17.46,E00000000599,153.501,Dato non in possesso,Insediamenti residenziali,9.229318034701187,45.49714737170914,"(45.49714737170914, 9.229318034701187)"
